Processes,Execution Time,Speedup,Efficiency
1,28.098803281784058,1.0,1.0
2,14.014052152633667,2.0050448632377496,1.0025224316188748
3,14.431025266647339,1.947110670419612,0.6490368901398706
4,14.581477880477905,1.927020258996074,0.4817550647490185
5,16.074447631835938,1.7480416077336003,0.34960832154672006
6,16.360803365707397,1.7174464269083367,0.28624107115138947
7,14.817625284194946,1.8963094789389316,0.2709013541341331
8,14.785488605499268,1.9004311613572973,0.23755389516966216
