Processes,Execution Time,Speedup,Efficiency,Type
1,37.77479839324951,1.0,1.0,CPU
2,30.05155229568481,1.2569999054149923,0.6284999527074963,CPU
3,25.99265480041504,1.453287426132645,0.484429142044215,CPU
4,25.20887422561645,1.498472246525946,0.3746180616314865,CPU
5,27.402916431427,1.3784955512956836,0.2756991102591367,CPU
6,39.40358376502991,0.9586640296097656,0.1597773382682942,CPU
7,29.21551513671875,1.2929704719042674,0.1847100674148953,CPU
8,25.307035446166992,1.492659955118168,0.186582494389771,CPU
1,28.098803281784058,1.0,1.0,CUDA
2,14.014052152633669,2.0050448632377496,1.0025224316188748,CUDA
3,14.43102526664734,1.947110670419612,0.6490368901398706,CUDA
4,14.581477880477903,1.927020258996074,0.4817550647490185,CUDA
5,16.074447631835938,1.7480416077336005,0.34960832154672,CUDA
6,16.360803365707397,1.7174464269083367,0.2862410711513894,CUDA
7,14.817625284194946,1.896309478938932,0.2709013541341331,CUDA
8,14.785488605499268,1.9004311613572973,0.2375538951696621,CUDA
